"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Inventory","1","0","Product Image","0"
"0","","0","Login","2","0","Empty Fields","0"
"0","","0","Checkout","3","0","Validation","0"
"0","","0","Inventory","1","0","Product Count","0"
"0","","1","Checkout","0","0","Successful Checkout","0"
"0","","0","Login","10","0","Data-Driven Login","0"
"0","","0","Login","2","0","Invalid Login","0"
"0","","0","Logout","1","0","Browser Back Button","0"
"0","","0","Login","2","0","Security","0"
"0","","0","Login","1","0","Locked User","0"
"0","","0","Cart","1","0","Cart Persistence","0"
"0","","0","Checkout","1","0","Cancel Checkout","0"
"0","","0","Inventory","4","0","Sorting","0"
"0","","0","Cart","1","0","Remove Product","0"
"0","","0","Cart","1","0","Add Product","0"
"0","","0","Logout","1","0","Logout Successfully","0"
"0","","0","Inventory","1","0","Product Name","0"
"0","","1","Cart","0","0","Add Multiple Products","0"
"0","","0","Logout","1","0","Session Validation","0"
"0","","0","Login","1","0","Valid Login","0"
"0","","0","Inventory","1","0","Product Price","0"
"0","","1","Cart","0","0","Cart Badge","0"
