"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Sorting by 'Name (A to Z)' should return alphabetically ascending names.","146","test_sort_name_a_to_z","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","693","test_login_data_driven[problem_user-secret_sauce-success]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Submitting the form with an empty username should show an error.","576","test_empty_username","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Cancelling on the checkout info page should return the user to the cart.","117","test_cancel_checkout","tests","2026-09-11","passed","2026-09-11","TestCheckout","test_checkout","",""
"Every product must have a non-empty display name.","104","test_product_names_are_not_empty","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"SQL injection payloads in the login form must not bypass authentication.","594","test_sql_injection_input","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Checkout should be blocked with an error when last name is missing.","21130","test_missing_last_name","tests","2026-09-11","broken","2026-09-11","TestCheckout","test_checkout","",""
"A user with valid checkout info should be able to complete an order end-to-end.","21070","test_successful_checkout","tests","2026-09-11","broken","2026-09-11","TestCheckout","test_checkout","",""
"Adding a single product should update the cart badge to 1.","434","test_add_single_product_to_cart","tests","2026-09-11","passed","2026-09-11","TestCart","test_cart","",""
"Sorting by 'Price (low to high)' should return ascending prices.","197","test_sort_price_low_to_high","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"XSS payloads in the login form must be handled safely (no script execution, login rejected).","670","test_xss_input","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"
        Data-driven login test sourced from testdata/login_data.xlsx.
        Validates each row's expected outcome: success | failure | locked.
        ","611","test_login_data_driven[invalid_user-wrong_password-failure]","tests","2026-09-11","passed","2026-09-11","TestLogin","test_login","",""
"Every product must have a positive numeric price.","147","test_product_prices_are_valid","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"Inventory page should display exactly 6 products for the standard user.","81","test_product_count","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
"
        After logout, directly navigating to /inventory.html should NOT
        display the inventory page (session must be invalidated).
        ","10831","test_session_invalid_after_logout","tests","2026-09-11","failed","2026-09-11","TestLogout","test_logout","",""
"Every product must have a valid (non-empty) image source.","106","test_product_images_are_present","tests","2026-09-11","passed","2026-09-11","TestInventory","test_inventory","",""
