"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"10","","0","Login","0","0","Data-Driven Login","0"
"1","","0","Inventory","0","0","Product Image","0"
"1","","0","Cart","0","0","Add Multiple Products","0"
"1","","0","Logout","0","0","Logout Successfully","0"
"1","","0","Cart","0","0","Add Product","0"
"4","","0","Inventory","0","0","Sorting","0"
"2","","0","Login","0","0","Security","0"
"2","","0","Login","0","0","Empty Fields","0"
"1","","0","Logout","0","0","Browser Back Button","0"
"1","","0","Logout","0","0","Session Validation","0"
"1","","0","Inventory","0","0","Product Price","0"
"3","","0","Checkout","0","0","Validation","0"
"1","","0","Login","0","0","Locked User","0"
"1","","0","Inventory","0","0","Product Name","0"
"1","","0","Cart","0","0","Cart Persistence","0"
"2","","0","Login","0","0","Invalid Login","0"
"1","","0","Cart","0","0","Cart Badge","0"
"1","","0","Inventory","0","0","Product Count","0"
"1","","0","Cart","0","0","Remove Product","0"
"1","","0","Login","0","0","Valid Login","0"
"1","","0","Checkout","0","0","Cancel Checkout","0"
"1","","0","Checkout","0","0","Successful Checkout","0"
